_TITLE1 TOTAL INTER INTRA RESTR VDW
ZINC00961021 -23.808 -16.045 -4.498 0.000 -23.679
ZINC00961460 -25.882 -19.321 -3.649 0.000 -27.526
ZINC00962181 -22.890 -19.460 -0.195 0.000 -32.052
ZINC00965176 -28.400 -24.337 -1.092 0.000 -33.629
ZINC00973709 -25.733 -22.291 -0.021 0.000 -27.204
ZINC00983580 -26.288 -24.214 1.167 0.000 -30.794
ZINC00983584 -27.553 -23.961 -0.197 0.000 -29.762
ZINC00985545 -32.127 -29.956 1.059 0.000 -32.666
ZINC00989366 -27.250 -19.248 -4.817 0.000 -29.120
ZINC00989405 -18.212 -17.029 1.850 0.000 -27.911
ZINC00989406 -21.617 -16.361 -1.994 0.000 -24.367
ZINC00995045 -26.957 -22.049 -1.547 0.000 -31.268
ZINC00995063 -28.596 -18.736 -6.575 0.000 -30.782
ZINC00995213 -38.702 -20.496 -14.955 0.000 -30.229
ZINC00996448 -28.121 -18.905 -6.014 0.000 -26.241
ZINC00998567 -24.388 -22.076 0.935 0.000 -30.670
ZINC00998596 -24.082 -20.989 -0.017 0.000 -28.629
ZINC01001407 -24.947 -22.023 0.375 0.000 -29.160
ZINC01013950 -18.549 -17.378 2.234 0.000 -25.145
ZINC01020873 -29.183 -25.342 -0.549 0.000 -30.482
ZINC01022771 -24.409 -23.551 1.047 0.000 -31.877
ZINC01040007 -26.122 -26.419 3.313 0.000 -30.614
ZINC01040937 -21.948 -18.632 0.032 0.000 -27.834
ZINC01040942 -22.386 -18.754 -0.280 0.000 -26.965
ZINC01049819 -27.347 -16.875 -7.082 0.000 -27.684
ZINC01054057 -24.797 -17.707 -3.746 0.000 -24.721
ZINC01054059 -24.665 -23.404 2.020 0.000 -29.712
ZINC01057945 -24.959 -21.271 -0.443 0.000 -26.976
ZINC01057971 -31.224 -22.979 -5.087 0.000 -29.651
ZINC01058141 -27.030 -22.409 -1.239 0.000 -30.215
ZINC01058143 -25.755 -24.239 1.765 0.000 -30.055
ZINC01058145 -26.529 -24.224 1.103 0.000 -31.136
ZINC01058148 -22.979 -25.521 5.936 0.000 -29.506
ZINC01059336 -25.206 -23.525 1.551 0.000 -26.854
ZINC01063031 -22.999 -21.578 1.672 0.000 -31.552
ZINC01064791 -27.756 -20.638 -3.722 0.000 -31.726
ZINC01070295 -18.363 -16.069 0.977 0.000 -23.692
ZINC01071242 -24.830 -21.647 0.204 0.000 -29.176
ZINC01073446 -28.160 -24.916 -0.028 0.000 -30.157
ZINC01075715 -28.486 -21.682 -3.518 0.000 -28.123
ZINC01077958 -26.855 -22.144 -1.459 0.000 -26.921
ZINC01079564 -24.140 -20.070 -0.825 0.000 -27.137
ZINC01084120 -24.699 -19.787 -1.583 0.000 -27.293
ZINC01084391 -28.979 -21.891 -3.673 0.000 -28.467
ZINC01084393 -29.324 -24.969 -0.994 0.000 -32.587
ZINC01088121 -25.108 -22.876 0.997 0.000 -28.580
ZINC01088374 -27.738 -24.077 -1.779 0.000 -24.378
ZINC01088883 -28.172 -20.722 -4.190 0.000 -26.441
ZINC01090922 -24.592 -19.625 -1.677 0.000 -28.780
ZINC01090925 -25.220 -17.220 -4.770 0.005 -29.771
ZINC01090958 -27.948 -20.283 -4.377 0.000 -32.612
ZINC01090959 -20.887 -17.974 -3.306 0.000 -28.149
ZINC01092304 -26.222 -19.433 -3.474 0.000 -27.359
ZINC01093326 -23.468 -22.358 0.834 0.000 -29.274
ZINC01094281 -27.177 -20.409 -3.630 0.035 -24.942
ZINC01094282 -26.726 -17.568 -5.816 0.000 -27.192
ZINC01094283 -26.346 -22.615 -0.432 0.000 -31.253
ZINC01094286 -22.828 -18.785 -0.755 0.000 -27.987
ZINC01094289 -21.924 -15.929 -2.770 0.000 -24.459
ZINC01094297 -21.345 -18.592 0.499 0.000 -23.030
ZINC01097882 -27.387 -22.839 -1.199 0.000 -28.601
ZINC01097883 -25.646 -22.797 0.384 0.000 -29.234
ZINC01102646 -27.610 -23.790 -0.515 0.000 -27.305
ZINC01103996 -27.576 -22.617 -1.581 0.000 -32.811
ZINC01109311 -23.698 -18.581 -1.737 0.000 -26.875
ZINC01109312 -25.237 -21.681 -0.318 0.000 -29.974
ZINC01110359 -24.582 -20.934 -0.437 0.000 -26.889
ZINC01113505 -27.543 -22.487 -1.716 0.000 -26.878
ZINC01113997 -27.260 -22.012 -2.002 0.000 -29.255
ZINC01118377 -26.767 -22.041 -1.429 0.000 -26.889
ZINC01118658 -27.790 -22.069 -2.615 0.000 -26.155
ZINC01119056 -26.196 -19.760 -3.125 0.000 -29.524
ZINC01119063 -24.143 -17.119 -3.732 0.000 -29.481
ZINC01119320 -24.652 -21.228 -0.010 0.000 -32.024
ZINC01119733 -25.729 -26.108 3.672 0.008 -30.050
ZINC01120211 -24.183 -22.098 1.185 0.000 -30.722
ZINC01121279 -23.898 -23.909 3.316 0.000 -28.986
ZINC01124839 -24.641 -20.623 -0.670 0.000 -29.476
ZINC01125534 -25.820 -20.997 -1.479 0.000 -27.032
ZINC01128877 -26.828 -23.279 -0.376 0.000 -28.187
ZINC01130304 -23.253 -19.863 -0.116 0.000 -30.019
ZINC01130305 -25.304 -22.222 0.022 0.000 -28.643
ZINC01131683 -25.217 -22.247 0.436 0.000 -27.338
ZINC01131685 -25.628 -20.958 -1.350 0.000 -28.077
ZINC01132694 -23.689 -23.097 2.648 0.000 -31.788
ZINC01134546 -26.656 -23.381 0.089 0.000 -27.791
ZINC01134740 -26.034 -22.888 0.237 0.000 -27.181
ZINC01138931 -28.113 -17.976 -6.761 0.000 -27.686
ZINC01139608 -24.454 -22.246 -2.605 0.028 -33.772
ZINC01140010 -27.948 -21.533 -3.107 0.000 -27.568
ZINC01140012 -27.558 -18.608 -5.661 0.000 -29.803
ZINC01141400 -25.705 -22.476 0.045 0.000 -32.918
ZINC01141449 -17.827 -15.418 0.896 0.000 -28.826
ZINC01142012 -24.158 -19.989 -0.864 0.000 -28.576
ZINC01142106 -22.612 -22.260 2.807 0.000 -28.290
ZINC01143087 -26.111 -19.768 -3.211 0.022 -27.173
ZINC01143476 -21.862 -15.082 -3.450 0.000 -22.774
ZINC01143478 -24.546 -19.660 -1.932 0.000 -25.190
ZINC01145016 -24.627 -18.688 -2.733 0.000 -25.841
ZINC01145195 -28.571 -19.022 -6.307 0.000 -25.524
ZINC01147908 -19.160 -16.592 0.523 0.000 -26.706
ZINC01148163 -25.144 -22.198 0.461 0.000 -28.858
ZINC01159095 -29.839 -26.455 -0.281 0.000 -33.194
ZINC01159097 -25.689 -17.705 -4.699 0.000 -26.129
ZINC01173878 -21.800 -17.081 -2.467 0.000 -29.585
ZINC01174530 -26.205 -24.546 1.691 0.000 -29.737
ZINC01188088 -26.033 -22.726 0.106 0.000 -31.733
ZINC01188747 -26.112 -20.570 -2.152 0.000 -29.210
ZINC01191980 -21.403 -17.827 -0.316 0.056 -26.413
ZINC01197684 -21.001 -21.912 0.485 0.000 -29.191
ZINC01200064 -21.727 -21.173 2.730 0.000 -32.468
ZINC01200491 -26.254 -24.439 1.423 0.000 -32.096
ZINC01200944 -27.856 -23.986 -0.550 0.000 -26.124
ZINC01206103 -16.207 -11.981 -0.890 0.000 -23.971
ZINC01208391 -25.207 -21.390 -0.432 0.000 -31.394
ZINC01210283 -25.432 -22.041 -0.169 0.000 -27.434
ZINC01212864 -21.896 -20.644 1.952 0.000 -26.528
ZINC01215252 -27.368 -28.307 4.185 0.000 -31.351
ZINC01222264 -27.300 -19.728 -4.330 0.000 -28.054
